CODGEO,LIBGEO,part_employes
Coly-Saint-Amand,5.8,23.2
Saint-Amand-de-Vergt,17.3,0
Saint-André-d'Allas,10.8,28.4
Saint-André-de-Double,29.3,13.7
Saint-Antoine-de-Breuilh,5.9,10.2
Saint-Aquilin,5.9,24.3
Saint-Astier,10.2,38.2
Saint-Aubin-de-Cadelech,6.7,0
Saint-Aubin-de-Lanquais,0,9.5
Saint-Aubin-de-Nabirat,0,100
Saint Aulaye-Puymangou,6.3,40.6
Saint-Avit-de-Vialard,0,33.2
Saint-Avit-Rivière,0,0
Saint-Avit-Sénieur,0,42.9
Saint-Barthélemy-de-Bellegarde,0,0
Saint-Barthélemy-de-Bussière,11.7,0
Saint-Capraise-de-Lalinde,4.7,21.3
Saint-Capraise-d'Eymet,9.1,0
Saint-Cassien,100,0
Saint-Cernin-de-Labarde,0,0
Saint-Cernin-de-l'Herm,0,0
Saint-Chamassy,0,29.8
Saint-Crépin-d'Auberoche,9.9,50
Saint-Crépin-et-Carlucet,0,15.3
Sainte-Croix,0,0
Sainte-Croix-de-Mareuil,0,0
Saint-Cybranet,5.7,12.1
Saint-Cyprien,8.1,28.7
Saint-Cyr-les-Champagnes,17.6,9.3
Saint-Estèphe,0,16.7
Saint-Étienne-de-Puycorbier,0,0
Sainte-Eulalie-d'Ans,5.7,22
Saint-Félix-de-Bourdeilles,0,32.4
Saint-Félix-de-Reillac-et-Mortemart,12.5,37.4
Saint-Félix-de-Villadeix,9.4,30.5
Sainte-Foy-de-Belvès,0,59.3
Sainte-Foy-de-Longas,8.4,25.2
Saint-Front-d'Alemps,0,8.8
Saint-Front-de-Pradoux,5.5,18.9
Saint-Front-la-Rivière,0,18
Saint-Front-sur-Nizonne,0,7.7
Saint-Geniès,4.3,15.2
Saint-Georges-Blancaneix,0,49.4
Saint-Georges-de-Montclard,6.6,6.9
Saint-Géraud-de-Corps,0,14.2
Saint-Germain-de-Belvès,10,30.3
Saint-Germain-des-Prés,20.3,16
Saint-Germain-du-Salembre,5.4,30.8
Saint-Germain-et-Mons,0,31.1
Saint-Géry,16.4,0
Saint-Geyrac,0,0
Saint-Hilaire-d'Estissac,0,0
Saint-Julien-Innocence-Eulalie,8.9,18.1
Saint-Jean-d'Ataux,0,49.6
Saint-Jean-de-Côle,8.9,12.1
Saint-Jean-d'Estissac,0,18.2
Saint-Jory-de-Chalais,11.2,15.1
Saint-Jory-las-Bloux,11.3,3.8
Saint-Julien-de-Lampon,8,23.5
Saint-Just,0,0
Saint-Laurent-des-Hommes,0,36.8
Saint-Laurent-des-Vignes,7.5,19.3
Saint-Laurent-la-Vallée,11.3,0
Saint-Léon-d'Issigeac,0,0
Saint-Léon-sur-l'Isle,10.9,17.2
Saint-Léon-sur-Vézère,0,27.8
Saint-Louis-en-l'Isle,N/A - division par 0,N/A - division par 0
Saint-Marcel-du-Périgord,0,0
Saint-Marcory,0,0
Saint-Martial-d'Albarède,5.9,45.2
Saint-Martial-d'Artenset,17.6,11.2
Saint-Martial-de-Nabirat,4.1,30.4
Saint-Martial-de-Valette,5.2,11.9
Saint-Martial-Viveyrol,15.5,15.5
Saint-Martin-de-Fressengeas,0,20.4
Saint-Martin-de-Gurson,3.6,7.4
Saint-Martin-de-Ribérac,9.3,12.2
Saint-Martin-des-Combes,22.5,14.6
Saint-Martin-l'Astier,0,0
Saint-Martin-le-Pin,0,20.3
Saint-Mayme-de-Péreyrol,0,74.9
Saint-Méard-de-Drône,15.7,14.1
Saint-Méard-de-Gurçon,4.4,24.7
Saint-Médard-de-Mussidan,3.9,36.3
Saint-Médard-d'Excideuil,12.4,7.5
Saint-Mesmin,0,12.4
Saint-Michel-de-Double,0,0
Saint-Michel-de-Montaigne,5.2,12.3
Saint-Michel-de-Villadeix,7.4,13.9
Sainte-Mondane,0,22.6
Sainte-Nathalène,0,36.3
Saint-Nexans,8.5,26.3
Sainte-Orse,8.4,8.5
Saint-Pancrace,24.6,0
Saint-Pantaly-d'Excideuil,0,0
Saint-Pardoux-de-Drône,0,100
Saint-Pardoux-et-Vielvic,33.6,0
Saint-Pardoux-la-Rivière,9.7,24.2
Saint-Paul-de-Serre,0,0
Saint-Paul-la-Roche,0,11.5
Saint-Paul-Lizonne,0,0
Saint-Perdoux,0,13.5
Saint-Pierre-de-Chignac,11.4,54.4
Saint-Pierre-de-Côle,6.5,20.7
Saint-Pierre-de-Frugie,24,17.6
Saint-Pierre-d'Eyraud,0,26.4
Saint-Pompon,4.5,13.8
Saint-Priest-les-Fougères,0,6.5
Saint Privat en Périgord,0,50.8
Saint-Rabier,0,31.1
Sainte-Radegonde,33.3,0
Saint-Raphaël,0,0
Saint-Rémy,0,22.7
Saint-Romain-de-Monpazier,0,0
Saint-Romain-et-Saint-Clément,0,49.6
Saint-Saud-Lacoussière,0,26.2
Saint-Sauveur,0,23.1
Saint-Sauveur-Lalande,0,23.3
Saint-Seurin-de-Prats,0,32.7
Saint-Séverin-d'Estissac,0,0
Saint-Sulpice-de-Roumagnac,12.5,12.8
Saint-Sulpice-d'Excideuil,0,0
Sainte-Trie,0,0
Saint-Victor,0,0
Saint-Vincent-de-Connezac,0,32.1
Saint-Vincent-de-Cosse,5.4,15.9
Saint-Vincent-Jalmoutiers,0,0
Saint-Vincent-le-Paluel,13.6,13.6
Saint-Vincent-sur-l'Isle,12.8,26.4
Saint-Vivien,0,32.4
Salagnac,6.3,34
Salignac-Eyvigues,6.3,37.4
Salles-de-Belvès,0,0
Salon,0,13.9
Sarlande,6,7.6
Sarlat-la-Canéda,10.9,31.9
Sarliac-sur-l'Isle,8,36.3
Sarrazac,0,0
Saussignac,0,19.4
Savignac-de-Miremont,0,100
Savignac-de-Nontron,0,50.1
Savignac-Lédrier,3.4,16.8
Savignac-les-Églises,11.1,25.1
Sceau-Saint-Angel,0,0
Segonzac,33.9,0
Sergeac,8.8,18.7
Serres-et-Montguyard,24,0
Servanches,0,0
Sigoulès-et-Flaugeac,9.9,32.1
Simeyrols,0,0
Singleyrac,0,9
Siorac-de-Ribérac,19.4,2.2
Siorac-en-Périgord,6.2,48.6
Sorges et Ligueux en Périgord,2.2,25.3
Soudat,33.3,0
Soulaures,0,0
Sourzac,0,33.9
Tamniès,11.7,12
Teillots,0,0
Temple-Laguyon,N/A - division par 0,N/A - division par 0
Terrasson-Lavilledieu,8.7,28.9
Teyjat,0,14.2
Thénac,13,10.4
Thenon,9.7,37.1
Thiviers,9,27.8
Thonac,14,7.2
Tocane-Saint-Apre,10.6,35.9
La Tour-Blanche-Cercles,7,36.3
Tourtoirac,0,13.8
Trélissac,5.6,35.6
Trémolat,19.8,12.1
Tursac,16.8,11.2
Urval,N/A - division par 0,N/A - division par 0
Vallereuil,0,10.7
Valojoulx,6.6,13.3
Vanxains,7,17.8
Varaignes,11.7,29.6
Varennes,24.2,75.8
Vaunac,0,0
Vélines,17.1,20
Vendoire,0,0
Verdon,N/A - division par 0,N/A - division par 0
Vergt,6.1,32.8
Vergt-de-Biron,0,25
Verteillac,2.6,48.3
Veyrignac,24.7,75.3
Veyrines-de-Domme,21.1,0
Veyrines-de-Vergt,0,9.7
Vézac,4.2,16.9
Villac,0,0
Villamblard,18.5,24
Villars,0,0
Villefranche-de-Lonchat,4.3,24.1
Villefranche-du-Périgord,5.5,32.1
Villetoureix,8.2,9.3
Vitrac,14.9,31.7
Abbans-Dessous,0,0
Abbans-Dessus,18.7,21.3
Abbenans,13.8,27.7
Abbévillers,9.5,27.5
Accolans,0,50.7
Adam-lès-Passavant,0,46.4
Adam-lès-Vercel,0,0
Aibre,7,28.7
Aïssey,0,18.6
Allenjoie,11.9,7.4
Les Alliés,0,0
Allondans,21.5,0
Amagney,12.2,13.5
Amancey,9.1,22.1
Amathay-Vésigneux,0,25
Amondans,21.2,21.2
Anteuil,20.8,13
Appenans,9,36.3
Arbouans,0,16
Arc-et-Senans,10,19.7
Arcey,2.5,16.7
Arçon,0,27.1
Arc-sous-Cicon,5.1,36.3
Arc-sous-Montenot,0,40
Aubonne,2.1,17.3
Audeux,0,15.6
Audincourt,14.8,31.3
Autechaux,9.2,7.4
Autechaux-Roide,14.1,7.1
Les Auxons,10.8,25.6
Avanne-Aveney,6.6,41.3
Avilley,0,25
Avoudrey,9.9,11.9
Badevel,0,29.7
Bannans,5.7,18.9
Le Barboux,0,9.9
Bart,16.4,28
Bartherans,0,0
Battenans-les-Mines,0,0
Battenans-Varin,N/A - division par 0,N/A - division par 0
Baume-les-Dames,10.8,36.9
Bavans,52.8,15
Belfays,0,50
Le Bélieu,6.2,15.1
Belleherbe,2.2,28.9
Belmont,0,0
Belvoir,0,0
Berche,8.3,17.1
Berthelange,0,35.1
Besançon,21.4,29.1
Bethoncourt,10.7,32.9
Beure,15.6,24.5
Beutal,0,29.8
Val-d'Usiers,8.5,19.1
Bief,0,83.4
Le Bizot,0,39.9
Blamont,1.5,48.2
Blarians,N/A - division par 0,N/A - division par 0
Blussangeaux,N/A - division par 0,N/A - division par 0
Blussans,0,0
Bolandoz,10.1,9.2
Bondeval,0,19.7
Bonnal,0,0
Bonnay,7.7,38.6
Bonnétage,5.5,39.2
Bonnevaux,0,32.9
La Bosse,0,0
Bouclans,3.2,22.8
Boujailles,5.4,5.5
Bourguignon,0,43.6
Bournois,50,50
Boussières,16.3,14.5
Bouverans,0,0
Braillans,0,100
Branne,0,20
Breconchaux,N/A - division par 0,N/A - division par 0
Bremondans,51.2,48.8
Brères,0,100
Les Bréseux,0,28.8
La Bretenière,0,0
Bretigney,0,0
Bretigney-Notre-Dame,0,0
Bretonvillers,0,29.3
Brey-et-Maison-du-Bois,8.1,8.8
Brognard,17.8,9
Buffard,0,33.3
Bugny,8.8,8.8
Bulle,0,8.9
Burgille,0,8.9
Burnevillers,0,0
Busy,0,33.1
By,27.5,0
Byans-sur-Doubs,5.5,35.1
Cademène,0,0
Cendrey,33.3,33.3
Cernay-l'Église,0,0
Cessey,16.4,0
Chaffois,12,13.2
Chalèze,0,49.5
Chalezeule,7.1,35.4
Chamesey,0,0
Chamesol,0,27
Champagney,12.9,0
Champlive,0,33.6
Champoux,0,70.3
Champvans-les-Moulins,0,50.6
Chantrans,0,8.3
Chapelle-des-Bois,5,34.9
Chapelle-d'Huin,0,0
Charmauvillers,0,11.4
Charmoille,0,22.1
Charnay,0,35.4
Charquemont,7.6,21.2
Chassagne-Saint-Denis,0,0
Châteauvieux-les-Fossés,N/A - division par 0,N/A - division par 0
Châtelblanc,14.4,14.2
Châtillon-Guyotte,0,20.1
Châtillon-le-Duc,23.4,11.1
Chaucenne,0,0
Les Terres-de-Chaux,0,33.3
La Chaux,0,20.1
Chaux-lès-Passavant,0,0
Chaux-Neuve,0,16.6
Chay,11.1,11.2
Chazot,0,40
Chemaudin et Vaux,10.8,11.1
La Chenalotte,16.5,42.5
Chenecey-Buillon,7.1,32.9
Chevigney-sur-l'Ognon,0,0
Chevigney-lès-Vercel,0,19.9
La Chevillotte,20.4,6.6
Chevroz,0,27.8
Chouzelot,0,27.3
Cléron,9.6,3
Pays-de-Clerval,9.2,13.4
La Cluse-et-Mijoux,8.7,24.5
Colombier-Fontaine,8,16.5
Les Combes,0,15.4
Consolation-Maisonnettes,0,0
Corcelles-Ferrières,11.7,0
Corcelle-Mieslot,0,100
Corcondray,0,0
Côtebrune,33.3,16.7
Courcelles-lès-Montbéliard,17.3,21.4
Courcelles,0,40.6
Courchapon,0,18
Cour-Saint-Maurice,0,25.1
Courtefontaine,0,19.9
Courtetain-et-Salans,0,0
Courvières,7.1,6.7
Crosey-le-Grand,0,40
Crosey-le-Petit,0,0
Le Crouzet,N/A - division par 0,N/A - division par 0
Crouzet-Migette,0,66.7
Cubrial,0,50.7
Cubry,0,17.4
Cusance,14.3,14.2
Cuse-et-Adrisans,0,18.5
Cussey-sur-Lison,0,0
Cussey-sur-l'Ognon,13.3,25.8
Dambelin,0,25
Dambenois,13.9,27.6
Dammartin-les-Templiers,0,50.2
Dampierre-les-Bois,8,20.9
Dampierre-sur-le-Doubs,8.5,24.9
Dampjoux,0,100
Damprichard,3.8,15.9
Dannemarie,0,0
Dannemarie-sur-Crète,15.4,12.7
Dasle,11.5,13.1
Deluz,0,22.9
Désandans,7.9,63.3
Déservillers,0,21.7
Devecey,10.4,33
Dommartin,0,18.5
Dompierre-les-Tilleuls,0,0
Domprel,0,0
Doubs,8.5,40.1
Dung,8.6,8.3
Durnes,0,34.2
Échay,0,0
Échenans,0,25
Échevannes,20,0
École-Valentin,14,29.1
Les Écorces,0,17.5
Écot,0,40
L'Écouvotte,0,0
Écurcey,0,65.2
Émagny,13.1,43.1
Épenouse,0,26.6
Épenoy,6.5,14.3
Épeugney,11.5,24.6
Esnans,0,0
Étalans,3.4,16.6
Éternoz,0,0
Étouvans,0,39.6
Étrabonne,0,21.1
Étrappe,0,49.9
Étray,0,15.5
Étupes,13,10.8
Évillers,0,6
Exincourt,10.4,24.2
Eysson,0,0
Faimbe,0,0
Fallerans,0,25.2
Ferrières-le-Lac,0,0
Ferrières-les-Bois,33.3,66.7
Fertans,8.4,13.7
Fesches-le-Châtel,7.2,25.2
Fessevillers,N/A - division par 0,N/A - division par 0
Feule,0,7.9
Les Fins,4.5,21.5
Flagey,18.1,25.5
Flagey-Rigney,N/A - division par 0,N/A - division par 0
Flangebouche,6,37
Fleurey,0,0
Fontain,15.6,13.8
Fontaine-lès-Clerval,0,34.8
Fontenelle-Montby,0,34.9
Les Fontenelles,5.8,12
Fontenotte,N/A - division par 0,N/A - division par 0
Fourbanne,50,50
Fourcatier-et-Maison-Neuve,0,0
Fourg,0,0
Les Fourgs,4,17.1
Fournet-Blancheroche,20.5,0
Frambouhans,6.9,13.1
Franey,19.4,39.5
Franois,8.5,21
Frasne,3.4,29.1
Froidevaux,0,0
Fuans,5.9,16.3
Gellin,0,43.2
Gémonval,0,50.2
Geneuille,8.9,14.1
Geney,0,100
Gennes,10.9,11.2
Germéfontaine,0,0
Germondans,N/A - division par 0,N/A - division par 0
Gevresin,N/A - division par 0,N/A - division par 0
Gilley,3.3,28.1
Glamondans,0,33.1
Glay,0,20.3
Glère,0,51
Gondenans-Montby,100,0
Gondenans-les-Moulins,0,0
Gonsans,12.3,19.9
Gouhelans,0,0
Goumois,14.2,0
Goux-lès-Dambelin,0,0
Goux-sous-Landet,N/A - division par 0,N/A - division par 0
Grand-Charmont,8.6,42.2
Grand'Combe-Châteleu,1.8,22.8
Grand'Combe-des-Bois,0,0
Grandfontaine,10.2,21.4
Fournets-Luisans,8.9,13.6
Grandfontaine-sur-Creuse,0,0
La Grange,0,48.9
Granges-Narboz,7.6,21.3
Les Grangettes,13.3,7.4
Les Gras,0,9.4
Le Gratteris,N/A - division par 0,N/A - division par 0
Grosbois,0,0
Guillon-les-Bains,0,0
Guyans-Durnes,6.5,6.3
Guyans-Vennes,2.6,24.1
Hauterive-la-Fresse,19.5,56.5
Hérimoncourt,12.4,34.1
L'Hôpital-du-Grosbois,13,14.3
L'Hôpital-Saint-Lieffroy,0,20
Les Hôpitaux-Neufs,10.6,36.5
Les Hôpitaux-Vieux,13.5,40.7
Houtaud,8,46.5
Huanne-Montmartin,0,100
Hyémondans,0,67.6
Hyèvre-Magny,N/A - division par 0,N/A - division par 0
Hyèvre-Paroisse,0,20.2
Indevillers,0,14.9
L'Isle-sur-le-Doubs,10.6,40.8
Issans,100,0
Jallerange,0,0
Jougne,8.7,34.8
Labergement-Sainte-Marie,7.1,35.1
Villers-le-Lac,9.3,25.5
Laire,0,12.4
Laissey,7.7,41.7
Lanans,11.2,6.6
Landresse,9.9,21.6
Lantenne-Vertière,12.2,14.5
Lanthenans,N/A - division par 0,N/A - division par 0
Larnod,8.7,44.8
Laval-le-Prieuré,N/A - division par 0,N/A - division par 0
Lavans-Quingey,44.2,0
Lavans-Vuillafans,0,24.6
Lavernay,6.2,23.6
Laviron,12.3,12.6
Levier,7.6,26.1
Liebvillers,15.3,42.2
Liesle,0,12.9
Lizine,0,0
Lods,0,0
Lombard,N/A - division par 0,N/A - division par 0
Lomont-sur-Crête,14.3,0
Longechaux,0,0
Longemaison,0,0
Longevelle-lès-Russey,0,0
Longevelle-sur-Doubs,12.5,30.5
Longeville,0,31.2
La Longeville,4.4,32.8
Longevilles-Mont-d'Or,4.4,33.1
Loray,0,23.8
Lougres,6.1,28.5
Le Luhier,0,32.6
Luxiol,0,0
Magny-Châtelard,0,0
Maîche,7.9,32
Maisons-du-Bois-Lièvremont,14,28.7
Malans,0,0
Malbrans,0,49.8
Malbuisson,6.7,50.6
Malpas,0,12.6
Mamirolle,10,30.1
Mancenans,0,42.6
Mancenans-Lizerne,0,58.8
Mandeure,16.5,14.7
Marchaux-Chaudefontaine,17.1,16.8
Marvelise,N/A - division par 0,N/A - division par 0
Mathay,6.3,15.5
Mazerolles-le-Salin,0,0
Médière,0,34.2
Le Mémont,0,0
Mercey-le-Grand,0,11.9
Les Monts-Ronds,19.7,12
Mérey-Vieilley,0,0
Mésandans,14,28.7
Meslières,8.6,8.7
Mesmay,0,0
Métabief,9.1,23.9
Miserey-Salines,15.3,24.6
Moncey,10.9,44.5
Moncley,0,39
Mondon,0,0
Montagney-Servigney,0,0
Montancy,0,0
Montandon,0,8.5
Montbéliard,16.9,28.6
Montbéliardot,0,47.2
Montbenoît,8.7,58
Mont-de-Laval,0,28.6
Mont-de-Vougney,0,0
Montécheroux,0,32
Montenois,4.6,31.5
Montfaucon,16.2,15.2
Montferrand-le-Château,6.5,43.7
Montflovin,0,0
Montgesoye,0,33.3
Montivernage,0,0
Montjoie-le-Château,N/A - division par 0,N/A - division par 0
Montlebon,8.9,25.4
Montmahoux,0,0
Montperreux,0,36.1
Montrond-le-Château,5.7,14.8
Montussaint,N/A - division par 0,N/A - division par 0
Morre,14.4,29.8
Morteau,10.1,32.8
Mouthe,13.7,38.9
Le Moutherot,0,0
Mouthier-Haute-Pierre,10.8,29.5
Myon,8.3,24.8
Naisey-les-Granges,0,40.3
Nancray,18.9,22.3
Nans,N/A - division par 0,N/A - division par 0
Nans-sous-Sainte-Anne,36.9,0
Narbief,0,19.7
Neuchâtel-Urtière,9.9,24.3
Les Premiers Sapins,6,27.8
Noël-Cerneux,10.1,0
Noirefontaine,7,22.3
Noironte,6.1,14.2
Nommay,4.7,8.6
Novillars,9.8,35.2
Ollans,N/A - division par 0,N/A - division par 0
Onans,14.7,28.4
Orchamps-Vennes,8.5,15.9
Orgeans-Blanchefontaine,0,0
Ornans,12.2,25
Orsans,0,14.3
Orve,0,0
Osse,0,40.5
Osselle-Routelle,0,60.8
Ougney-Douvot,0,0
Ouhans,0,10.5
Ouvans,0,0
Oye-et-Pallet,3.5,31.7
Palantine,N/A - division par 0,N/A - division par 0
Palise,N/A - division par 0,N/A - division par 0
Paroy,13.6,14.9
Passavant,0,18
Passonfontaine,0,0
Pelousey,8.6,18.5
Péseux,0,0
Pessans,0,0
Petite-Chaux,11.1,7.2
Pierrefontaine-lès-Blamont,0,24.7
Pierrefontaine-les-Varans,11.1,24.6
Pirey,13.5,15.3
Placey,0,72
Plaimbois-du-Miroir,0,0
Plaimbois-Vennes,0,0
Les Plains-et-Grands-Essarts,0,16.6
La Planée,15.7,0
Le Val,0,31.3
Pompierre-sur-Doubs,13.5,14.4
Pontarlier,11.4,32.2
Pont-de-Roide-Vermondans,8.5,25.8
Les Pontets,0,33.6
Pont-les-Moulins,0,18.5
Pouilley-Français,25,25.2
Pouilley-les-Vignes,10.8,29.1
Pouligney-Lusans,8.6,23.9
Présentevillers,6.7,24.8
La Prétière,0,0
Provenchère,0,33.1
Puessans,N/A - division par 0,N/A - division par 0
Pugey,5.3,21.4
Le Puy,N/A - division par 0,N/A - division par 0
Quingey,9.9,38.4
Rahon,0,20
Rancenay,20.9,0
Randevillers,0,0
Rang,7.7,11.8
Raynans,44.7,55.3
Recologne,8.7,31.5
Reculfoz,0,0
Rémondans-Vaivre,5.1,5.2
Remoray-Boujeons,0,33.1
Renédale,0,0
Rennes-sur-Loue,0,33.3
Reugney,0,19.5
Rigney,6.7,34
Rignosot,0,0
Rillans,0,0
La Rivière-Drugeon,4.7,18.8
Rochejean,0,23.5
Roche-lez-Beaupré,6.9,24.9
Roche-lès-Clerval,0,0
Roches-lès-Blamont,0,10.1
Rognon,0,0
Romain,32.8,67.2
Ronchaux,0,33.3
Rondefontaine,N/A - division par 0,N/A - division par 0
Roset-Fluans,0,14.4
Rosières-sur-Barbèche,0,33.5
Rosureux,0,0
Rougemont,7.4,55.1
Rougemontot,0,0
Rouhe,N/A - division par 0,N/A - division par 0
Roulans,21.1,12.4
Ruffey-le-Château,0,0
Rurey,10.2,31.4
Le Russey,7.8,39
Sainte-Anne,0,0
Saint-Antoine,0,12.3
Sainte-Colombe,0,21.9
Saint-Georges-Armont,0,25
Saint-Gorgon-Main,0,9.7
Saint-Hilaire,26.5,36
Saint-Hippolyte,1.4,30.4
Saint-Juan,0,50
Saint-Julien-lès-Montbéliard,0,0
Saint-Julien-lès-Russey,0,24.9
Sainte-Marie,7,25.9
Saint-Maurice-Colombier,0,23
Saint-Point-Lac,15.3,38.3
Sainte-Suzanne,9,26.6
Saint-Vit,10.9,21.5
Samson,0,30.4
Sancey,13.4,18.4
Saône,11.3,26.3
Saraz,N/A - division par 0,N/A - division par 0
Sarrageois,0,0
Saules,9.1,26.8
Sauvagney,0,50
Scey-Maisières,19.7,20.3
Séchin,39.8,0
Seloncourt,9.9,24.3
Semondans,0,26.4
Septfontaines,6.3,33.1
Serre-les-Sapins,7,15.3
Servin,14.2,17.4
Silley-Amancey,14.2,0
Silley-Bléfond,0,0
Sochaux,12.9,8.5
Solemont,0,0
La Sommette,0,0
Soulce-Cernay,0,100
Sourans,0,0
Soye,0,9.9
Surmont,0,0
Taillecourt,0.4,49.8
Tallans,0,0
Tallenay,50,0
Tarcenay-Foucherans,7.2,25.4
Thiébouhans,0,66.7
Thise,9.4,16.2
Thoraise,0,29.6
Thulay,0,21.3
Thurey-le-Mont,5.5,9.5
Torpes,5.6,42
Touillon-et-Loutelet,28.8,14.2
La Tour-de-Sçay,23.3,7.1
Tournans,0,0
Trépot,23.3,26.9
Tressandans,0,0
Trévillers,0,39.4
Trouvans,0,57.9
Urtière,0,0
Uzelle,N/A - division par 0,N/A - division par 0
Vaire,0,50.1
Valdahon,7.7,48.1
Val-de-Roulans,0,0
Valentigney,9.9,25.9
Valleroy,0,33.3
Valonne,0,20.2
Valoreille,14.3,14.3
Vandoncourt,0,0
Vaucluse,16,15.4
Vauclusotte,0,0
Vaudrivillers,N/A - division par 0,N/A - division par 0
Vaufrey,0,0
Vaux-et-Chantegrue,0,5.5
Velesmes-Essarts,15.3,5.2
Vellerot-lès-Belvoir,0,0
Vellerot-lès-Vercel,0,0
Vellevans,0,22.1
Venise,0,0
Vennans,0,0
Vennes,0,14.5
Vercel-Villedieu-le-Camp,16.3,22.3
Vergranne,N/A - division par 0,N/A - division par 0
Verne,0,0
Vernierfontaine,0,50.3
Vernois-lès-Belvoir,0,0
Le Vernoy,0,100
Verrières-de-Joux,5.9,11.5
La Vèze,13.2,30.8
Vieilley,0,30.3
Viéthorey,0,50
Vieux-Charmont,6.5,17.4
Villars-lès-Blamont,0,59.6
Villars-Saint-Georges,0,17.6
Villars-sous-Dampjoux,0,0
Villars-sous-Écot,4.6,55.2
Les Villedieu,0,0
Ville-du-Pont,0,38.8
Villeneuve-d'Amont,0,33.1
Villers-Buzon,0,48
Villers-Chief,0,0
Villers-Grélot,0,33
Villers-la-Combe,0,0
Villers-Saint-Martin,8.2,31.5
Villers-sous-Chalamont,0,33.3
Voillans,0,0
Voires,0,25.9
Vorges-les-Pins,15.7,15
Voujeaucourt,21.3,15
Vuillafans,0,13.4
Vuillecin,8.9,4.6
Vyt-lès-Belvoir,40,20
Solaure en Diois,10.6,9.8
Albon,7.4,16.7
Aleyrac,0,0
Alixan,29.2,21.9
Allan,4.3,41.9
Allex,12.3,25.9
Ambonil,0,9.8
Ancône,5,28.6
Andancette,9.3,18.7
Anneyron,10.9,15.9
Aouste-sur-Sye,12.7,33.8
Arnayon,23.4,46.9
Arpavon,0,16.5
Arthémonay,17,31.8
Aubenasson,0,0
Aubres,6.3,18.7
Aucelon,0,0
Aulan,0,0
Aurel,2.3,2.4
La Répara-Auriples,0,0
Autichamp,0,0
Ballons,0,36.6
Barbières,7.1,27.1
Barcelonne,48.5,3.1
Barnave,0,12.4
Barret-de-Lioure,0,0
Barsac,14.3,0
Bathernay,0,0
La Bâtie-des-Fonds,N/A - division par 0,N/A - division par 0
La Bâtie-Rolland,10.6,12.2
La Baume-Cornillane,12.1,15.2
La Baume-de-Transit,10,53.1
La Baume-d'Hostun,5.5,16.2
Beaufort-sur-Gervanne,8.3,19.9
Beaumont-en-Diois,0,0
Beaumont-lès-Valence,15,24.2
Beaumont-Monteux,14.2,16.7
Beauregard-Baret,8.8,10.6
Beaurières,11.1,10.9
Beausemblant,13.6,20
Beauvallon,14.2,32.8
Beauvoisin,0,0
La Bégude-de-Mazenc,7.1,29.4
Bellecombe-Tarendol,0,12
Bellegarde-en-Diois,0,0
Bénivay-Ollon,0,0
Bésayes,8.5,21.5
Bésignan,0,0
Bézaudun-sur-Bîne,0,0
Bonlieu-sur-Roubion,0,52.5
Bouchet,13.1,15.7
Boulc,5.6,28.2
Bourdeaux,6.1,36.5
Bourg-de-Péage,13.4,25.6
Bourg-lès-Valence,19.9,23.6
Bouvante,0,35.4
Bouvières,0,28.2
Bren,6.2,6.7
Brette,0,0
Buis-les-Baronnies,7.6,29.1
Chabeuil,11.1,25.2
Chabrillan,10.6,10.6
Le Chaffal,0,0
Chalancon,0,0
Le Chalon,20,0
Chamaloc,0,20
Chamaret,10.4,10.3
Chanos-Curson,3,16.9
Chantemerle-les-Blés,5.5,21.4
Chantemerle-lès-Grignan,6,40.8
La Chapelle-en-Vercors,11.6,19.6
La Charce,0,0
Charens,N/A - division par 0,N/A - division par 0
Charmes-sur-l'Herbasse,9.8,27
Charols,9,37.8
Charpey,16.6,21
Chastel-Arnaud,0,0
Châteaudouble,0,21.7
Châteauneuf-de-Bordette,16.4,16.8
Châteauneuf-de-Galaure,15.7,29.6
Châteauneuf-sur-Isère,20.4,13.6
Châteauneuf-du-Rhône,9.4,14
Châtillon-en-Diois,13.7,22.8
Châtillon-Saint-Jean,13.8,13.9
Chatuzange-le-Goubet,8.5,24
Chaudebonne,N/A - division par 0,N/A - division par 0
La Chaudière,0,100
Chauvac-Laux-Montaux,0,0
Chavannes,6.5,17.9
Clansayes,9.7,0
Claveyson,4.5,15.8
Cléon-d'Andran,22.7,24.2
Clérieux,11.4,11.2
Cliousclat,6.2,22
Cobonne,14.3,14.4
Colonzelle,12.9,0
Combovin,14.2,9.7
Comps,0,0
Condillac,0,100
Condorcet,4.3,44.4
Cornillac,0,25
Cornillon-sur-l'Oule,0,0
La Coucourde,7.4,24.7
Crépol,3.5,17.8
Crest,14.1,28.6
Crozes-Hermitage,11.4,23.1
Crupies,17.9,27.2
Curnier,0,20.2
Die,16.8,30.3
Dieulefit,11.7,35.2
Divajeu,11.4,11.6
Donzère,9.6,24.2
Échevis,0,0
Épinouze,13.2,18.9
Érôme,7.8,11.8
Espeluche,12.6,15.9
Espenel,0,0
Establet,0,0
Étoile-sur-Rhône,12.2,15.9
Eurre,17.8,18.6
Eygalayes,0,0
Eygaliers,0,10.6
Eygluy-Escoulin,0,0
Eymeux,9.7,12
Eyroles,N/A - division par 0,N/A - division par 0
Eyzahut,0,33.3
Fay-le-Clos,0,34.5
Félines-sur-Rimandoule,40.8,0
Ferrassières,0,0
Val-Maravel,N/A - division par 0,N/A - division par 0
Francillon-sur-Roubion,14.3,0
