CODGEO,LIBGEO,part_ouvriers
6,37,19.5
0,0,0
15.6,13.8,26.1
0,34.8,30.8
0,34.9,30.6
5.8,12,20.5
N/A - division par 0,N/A - division par 0,N/A - division par 0
50,50,0
0,0,52.5
0,0,20.2
4,17.1,38.6
20.5,0,20.2
6.9,13.1,38.2
19.4,39.5,20.2
8.5,21,35.6
3.4,29.1,29.7
0,0,0
5.9,16.3,36
0,43.2,0
0,50.2,24.8
8.9,14.1,49
0,100,0
10.9,11.2,0
0,0,0
N/A - division par 0,N/A - division par 0,N/A - division par 0
N/A - division par 0,N/A - division par 0,N/A - division par 0
3.3,28.1,40.6
0,33.1,0
0,20.3,19.9
0,51,0
100,0,0
0,0,0
12.3,19.9,32.9
0,0,0
14.2,0,28.3
0,0,0
N/A - division par 0,N/A - division par 0,N/A - division par 0
8.6,42.2,16.7
1.8,22.8,35.7
0,0,25.5
10.2,21.4,20.5
8.9,13.6,52.8
0,0,0
0,48.9,24.5
7.6,21.3,38.3
13.3,7.4,0
0,9.4,43.4
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,0,33.3
0,0,66.7
6.5,6.3,25.4
2.6,24.1,22
19.5,56.5,24
12.4,34.1,15.6
13,14.3,21.3
0,20,20
10.6,36.5,12
13.5,40.7,18.6
8,46.5,17.9
0,100,0
0,67.6,32.4
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,20.2,39.7
0,14.9,13.5
10.6,40.8,15.6
100,0,0
0,0,0
8.7,34.8,18.9
7.1,35.1,14.2
9.3,25.5,36.7
0,12.4,49
7.7,41.7,17
11.2,6.6,44.6
9.9,21.6,24.2
12.2,14.5,47.6
N/A - division par 0,N/A - division par 0,N/A - division par 0
8.7,44.8,0
N/A - division par 0,N/A - division par 0,N/A - division par 0
44.2,0,55.8
0,24.6,11
6.2,23.6,23.6
12.3,12.6,0
7.6,26.1,29.8
15.3,42.2,28.4
0,12.9,38.3
0,0,0
0,0,49.3
N/A - division par 0,N/A - division par 0,N/A - division par 0
14.3,0,0
0,0,100
0,0,0
0,0,0
12.5,30.5,24.8
0,31.2,34.4
4.4,32.8,4.6
4.4,33.1,26
0,23.8,35.1
6.1,28.5,20
0,32.6,0
0,0,40.8
0,0,100
7.9,32,29.5
14,28.7,28.4
0,0,48.5
0,49.8,50.2
6.7,50.6,22.4
0,12.6,46.1
10,30.1,26.4
0,42.6,28.4
0,58.8,0
16.5,14.7,42.2
17.1,16.8,29.7
N/A - division par 0,N/A - division par 0,N/A - division par 0
6.3,15.5,44.9
0,0,0
0,34.2,65.8
0,0,0
0,11.9,58.5
19.7,12,24
0,0,0
14,28.7,33.3
8.6,8.7,66.7
0,0,0
9.1,23.9,16.5
15.3,24.6,24.3
10.9,44.5,11.2
0,39,32.7
0,0,31.6
0,0,20.7
0,0,0
0,8.5,24.6
16.9,28.6,21.5
0,47.2,26.6
8.7,58,0
0,28.6,14.3
0,0,16.6
0,32,16.5
4.6,31.5,8.9
16.2,15.2,10.3
6.5,43.7,15.5
0,0,0
0,33.3,33.5
0,0,0
N/A - division par 0,N/A - division par 0,N/A - division par 0
8.9,25.4,25.4
0,0,33.8
0,36.1,18.4
5.7,14.8,19.2
N/A - division par 0,N/A - division par 0,N/A - division par 0
14.4,29.8,17.9
10.1,32.8,26.9
13.7,38.9,23.2
0,0,0
10.8,29.5,7.7
8.3,24.8,25.5
0,40.3,12.7
18.9,22.3,16
N/A - division par 0,N/A - division par 0,N/A - division par 0
36.9,0,0
0,19.7,21.1
9.9,24.3,47.4
6,27.8,28.2
10.1,0,55
7,22.3,50.5
6.1,14.2,36.7
4.7,8.6,55
9.8,35.2,10.3
N/A - division par 0,N/A - division par 0,N/A - division par 0
14.7,28.4,0
8.5,15.9,34.9
0,0,100
12.2,25,31.5
0,14.3,0
0,0,0
0,40.5,0
0,60.8,0
0,0,0
0,10.5,20
0,0,0
3.5,31.7,38.6
N/A - division par 0,N/A - division par 0,N/A - division par 0
N/A - division par 0,N/A - division par 0,N/A - division par 0
13.6,14.9,28.9
0,18,72.9
0,0,0
8.6,18.5,38.5
0,0,0
0,0,100
11.1,7.2,64.2
0,24.7,12.8
11.1,24.6,22.9
13.5,15.3,38.9
0,72,0
0,0,0
0,0,25
0,16.6,83.4
15.7,0,23.8
0,31.3,0
13.5,14.4,0
11.4,32.2,22.1
8.5,25.8,35.3
0,33.6,43.9
0,18.5,31.2
25,25.2,12.5
10.8,29.1,22.3
8.6,23.9,20.2
6.7,24.8,14.3
0,0,34
0,33.1,33.4
N/A - division par 0,N/A - division par 0,N/A - division par 0
5.3,21.4,5.6
N/A - division par 0,N/A - division par 0,N/A - division par 0
9.9,38.4,21
0,20,40
20.9,0,0
0,0,32.9
7.7,11.8,54.3
44.7,55.3,0
8.7,31.5,16.9
0,0,100
5.1,5.2,71.6
0,33.1,0
0,0,0
0,33.3,0
0,19.5,20.5
6.7,34,16.1
0,0,50.3
0,0,0
4.7,18.8,36.1
0,23.5,7.6
6.9,24.9,32.4
0,0,0
0,10.1,41.5
0,0,33.3
32.8,67.2,0
0,33.3,0
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,14.4,28.8
0,33.5,66.5
0,0,0
7.4,55.1,12.8
0,0,0
N/A - division par 0,N/A - division par 0,N/A - division par 0
21.1,12.4,16.5
0,0,66.3
10.2,31.4,21.4
7.8,39,24.4
0,0,0
0,12.3,36.4
0,21.9,44.9
0,25,0
0,9.7,26.5
26.5,36,0
1.4,30.4,33.1
0,50,50
0,0,20
0,24.9,25.2
7,25.9,43.3
0,23,22.6
15.3,38.3,7.8
9,26.6,29.2
10.9,21.5,32
0,30.4,32.7
13.4,18.4,22.9
11.3,26.3,25.1
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,0,20.5
9.1,26.8,45.9
0,50,0
19.7,20.3,19.7
39.8,0,47.5
9.9,24.3,37.6
0,26.4,45.6
6.3,33.1,40
7,15.3,30.9
14.2,17.4,27.3
14.2,0,42.8
0,0,0
12.9,8.5,56.4
0,0,0
0,0,22.7
0,100,0
0,0,0
0,9.9,19.1
0,0,25.8
0.4,49.8,18.6
0,0,100
50,0,0
7.2,25.4,25.2
0,66.7,0
9.4,16.2,31.4
0,29.6,14.8
0,21.3,36.1
5.5,9.5,65.5
5.6,42,23.1
28.8,14.2,42.6
23.3,7.1,15.5
0,0,24.5
23.3,26.9,36.4
0,0,100
0,39.4,12
0,57.9,0
0,0,0
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,50.1,0
7.7,48.1,18.5
0,0,48.4
9.9,25.9,33.1
0,33.3,0
0,20.2,39
14.3,14.3,14.1
0,0,27.5
16,15.4,16.7
0,0,75.5
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,0,66.2
0,5.5,39.4
15.3,5.2,52
0,0,83
0,0,0
0,22.1,29
0,0,0
0,0,0
0,14.5,14.7
16.3,22.3,32.2
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,0,44.7
0,50.3,12.2
0,0,30.6
0,100,0
5.9,11.5,51.7
13.2,30.8,25.7
0,30.3,13.1
0,50,50
6.5,17.4,40.8
0,59.6,0
0,17.6,0
0,0,40.6
4.6,55.2,22
0,0,0
0,38.8,24.6
0,33.1,26
0,48,0
0,0,37.8
0,33,0
0,0,0
8.2,31.5,15.7
0,33.3,41.7
0,0,28.6
0,25.9,0
15.7,15,30.4
21.3,15,28.2
0,13.4,43.3
8.9,4.6,60.8
40,20,20
10.6,9.8,14.8
7.4,16.7,47.5
0,0,0
29.2,21.9,11.5
4.3,41.9,9.9
12.3,25.9,18
0,9.8,61.9
5,28.6,27.1
9.3,18.7,42.9
10.9,15.9,40
12.7,33.8,18.6
23.4,46.9,0
0,16.5,0
17,31.8,25.6
0,0,33.9
6.3,18.7,25.3
0,0,0
0,0,0
2.3,2.4,52.3
0,0,22.3
0,0,25
0,36.6,26.9
7.1,27.1,19.8
48.5,3.1,36.6
0,12.4,25
0,0,0
14.3,0,10.8
0,0,0
N/A - division par 0,N/A - division par 0,N/A - division par 0
10.6,12.2,38.2
12.1,15.2,18.3
10,53.1,7.9
5.5,16.2,26.4
8.3,19.9,20.1
0,0,0
15,24.2,24.6
14.2,16.7,27.2
8.8,10.6,17.2
11.1,10.9,33
13.6,20,30
14.2,32.8,3.8
0,0,49.8
7.1,29.4,20.1
0,12,52.1
0,0,20
0,0,0
8.5,21.5,38
0,0,18.8
0,0,0
0,52.5,0
13.1,15.7,15.2
5.6,28.2,10.1
6.1,36.5,14
13.4,25.6,26.3
19.9,23.6,20.6
0,35.4,13.8
0,28.2,0
6.2,6.7,65.4
0,0,0
7.6,29.1,14.1
11.1,25.2,19.3
10.6,10.6,46.9
0,0,0
0,0,0
20,0,0
0,20,20
10.4,10.3,17.7
3,16.9,38.6
5.5,21.4,37.2
6,40.8,24.6
11.6,19.6,14.6
0,0,0
N/A - division par 0,N/A - division par 0,N/A - division par 0
9.8,27,39.4
9,37.8,12
16.6,21,11.9
0,0,0
0,21.7,16.4
16.4,16.8,50.3
15.7,29.6,19.7
20.4,13.6,25.8
9.4,14,32.6
13.7,22.8,13.6
13.8,13.9,21.2
8.5,24,27.1
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,100,0
0,0,0
6.5,17.9,36.9
9.7,0,19.9
4.5,15.8,34.1
22.7,24.2,14.6
11.4,11.2,28.8
6.2,22,38.8
14.3,14.4,0
12.9,0,25.9
14.2,9.7,7.4
0,0,0
0,100,0
4.3,44.4,15.6
0,25,0
0,0,0
7.4,24.7,20.3
3.5,17.8,39.2
14.1,28.6,18.4
11.4,23.1,19.5
17.9,27.2,17.4
0,20.2,26.5
16.8,30.3,12.6
11.7,35.2,13.5
11.4,11.6,19.9
9.6,24.2,35.3
0,0,33.3
13.2,18.9,31
7.8,11.8,22.6
12.6,15.9,20
0,0,0
0,0,0
12.2,15.9,36.8
17.8,18.6,36.9
0,0,0
0,10.6,44.3
0,0,0
9.7,12,14.5
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,33.3,33.3
0,34.5,0
40.8,0,38.8
0,0,25
N/A - division par 0,N/A - division par 0,N/A - division par 0
14.3,0,0
15.4,26.1,17.7
6.6,36,18.4
7.3,12.2,7.2
12.3,6.3,32.4
0,0,0
13.8,12.7,29.9
10.7,20.4,33.7
0,21.2,41.9
9.3,29.1,25.2
0,0,0
6.8,27.1,33.1
5.3,18.6,29.2
N/A - division par 0,N/A - division par 0,N/A - division par 0
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,0,50
16.1,32.1,0
4.9,11.5,53.1
2.5,32.8,30.9
15.9,25.1,21.4
0,10.2,25.1
10.4,18.8,35.1
0,0,0
22.8,11.4,26.6
0,31.9,22.8
0,0,0
11.1,20.6,24.2
9.5,25.8,35.1
13.4,23.7,17.5
10.7,29.2,15.4
10.2,22.5,30.7
14.2,15.8,38.4
49.7,17.2,0
4.9,12,31.3
14.5,10.4,16.7
15.5,10.8,34.4
0,0,10.7
7.7,37,9.1
4.7,5.5,65.7
16.6,1.2,10.2
15,16.6,30.7
0,32.2,3.8
0,0,0
4.1,13.6,16.8
9.6,42.4,18.9
8.2,12.3,30.4
0,0,0
8.3,23.7,7.1
28.4,0,14.5
0,0,41.1
8.7,22.5,22.3
0,0,38.1
7.6,19.8,23
0,13.3,39.7
11.1,0,21.8
12.5,28.7,11.4
11.1,26,21.5
11.9,29.7,24.4
11.9,11.6,28.3
19.2,0,21.2
0,17,50
0,15.3,15.8
0,34.4,49.7
11.5,11.6,31.9
0,14.4,0
10.5,24.9,15.1
6,29.7,10.7
6.9,28.8,18.1
0,0,0
7.9,13.5,26.6
5.9,25.1,29.8
10,12.7,28
9.4,25.3,27.7
0,0,67.2
3,41.3,8.8
8.4,15.5,36.4
5.3,27.4,51.1
7.1,26.9,31.9
11.9,29.5,17.5
0,0,0
0,0,0
0,18.5,17.6
0,32.3,17.1
4.7,60.1,7
0,27.9,29.3
0,0,100
0,33.3,0
0,36.8,20.5
6.1,34.2,22.4
5.5,16.1,19.6
10.1,10.1,0
17.9,11.8,28.7
19.3,17.2,24.1
0,0,38
0,27.6,31
0,0,20.2
0,13.9,24.4
0,19.3,0
N/A - division par 0,N/A - division par 0,N/A - division par 0
7.2,25.3,14.2
0,0,0
0,0,0
23.8,0,4.9
0,36.4,12.6
11.1,0,33
6.9,27.9,6.7
9.1,20.6,37.4
24.8,0,25.6
11,16.6,39.8
0,0,0
0,0,50
0,64.3,35.7
0,0,25.1
0,10.4,23.5
8.9,29.2,30.3
0,42.1,28.5
23,21.9,11.2
6,14.2,43.7
41.7,16.6,0
10.2,23.2,24.4
100,0,0
14.3,0,55.7
0,0,0
0,0,0
0,0,0
10,21.2,33.2
0,19.7,0
10.1,20.4,21.1
N/A - division par 0,N/A - division par 0,N/A - division par 0
7.7,27.9,22.1
10.6,10.4,20.8
17.5,0,50.6
0,0,8.3
0,0,0
13,28.9,22.7
19.8,19.7,21.1
0,0,0
12.1,18.7,32.6
7.6,7.2,8.2
0,0,0
6.8,16.9,24.1
5.7,33.5,27.4
6.6,21,17.1
0,27.1,9.6
35.4,29.3,0
10.5,8.7,23.1
21.3,15.3,10.4
0,44.2,7.7
5.8,11,56.5
0,0,33
0,29.4,17.9
16.8,0,16.8
0,0,0
13.3,30.8,24.1
7.8,22.1,28.7
0,0,40.2
13,36.4,12.4
13.3,18.1,17.1
6.9,27.8,14.2
9.3,35.9,22.5
16.3,18.3,0
11.7,11.5,53.9
0,0,0
10.7,23.5,14.3
6.7,32.9,18
10.8,31.5,21.2
0,0,0
10.4,12.2,18.5
0,0,0
6.1,21.1,23.4
20,0,0
13.9,39.5,6.8
16.7,29.7,19.8
23.8,8,15.5
9,28.4,20.2
6.2,44.7,15
19.3,17.4,22.1
9.8,29.4,34.3
10.6,13.9,26.9
16.2,0,32.5
0,0,0
0,11.1,38.8
12.9,32.9,17.3
9.1,41.9,10.7
11.7,17.2,40.2
15.6,27.7,21.5
0,26.8,21
0,0,2.8
6.2,12.6,19.4
10.2,24.6,37
7.3,31.2,23.8
10.1,17.3,21.7
4.2,4.5,23.6
5,18.2,44.5
41.8,0,36.8
0,0,0
8.3,21.9,9.6
6.2,23.9,23.6
0,6.4,42.6
15.3,28.6,22.1
7.2,31.3,17.6
5.2,5.4,5.1
0,0,0
N/A - division par 0,N/A - division par 0,N/A - division par 0
17.4,0,0
4.6,27.5,24
8,29.7,24.5
0,16.4,0
12.7,20,29.6
9.4,19.1,19.6
0,0,0
12.5,16.6,31.8
12.4,0,19.3
19,27.7,16.4
0,0,25.7
0,16.6,16.5
11.3,33.1,5.6
2.8,34.9,16
10.8,19,14.6
0,40.8,0
51.4,48.6,0
0,0,0
0,0,0
21.3,19.2,9.2
N/A - division par 0,N/A - division par 0,N/A - division par 0
N/A - division par 0,N/A - division par 0,N/A - division par 0
20,0,0
14.8,13.3,28.4
0,0,0
5.3,10.8,53.8
4.1,26.7,30.4
10,30.4,21.6
9.3,5.9,28.8
0,37.3,38.1
0,29,28.8
9.9,12.4,48.4
8.8,19.2,14.8
2.8,28.9,24.6
0,30.7,37.5
11.6,13,35.7
5,24.6,37.9
N/A - division par 0,N/A - division par 0,N/A - division par 0
11.5,36.4,8.5
23.9,23.9,26.1
0,17,52.1
16.4,34.7,16.3
11.1,17.7,40.1
13.8,29.5,23.1
8.3,19.1,42.6
0,40.9,31.5
0,100,0
17.8,31.7,19.1
0,7.1,28.7
19.8,20.7,22.8
0,68.3,21.9
0,19.2,43.2
8,15.7,31.2
0,0,100
16,16.9,16.5
3.2,29.5,9.9
7.3,43.8,7.7
0,25.9,0
6.9,13.7,37.6
0,0,0
0,44.9,27.5
0,36.4,0
7.6,35.8,23
0,18.9,25.3
7.1,14.1,50.2
0,21.1,38.5
0,37.7,5.1
0,49.9,33.2
8.7,15.4,13.6
0,0,50.4
14.9,13.6,14.8
40,0,0
5.6,26.4,27
10.8,10,44.4
8.8,25.6,34.7
19.5,10.1,29.8
0,20.1,59.7
5.2,54.7,14.4
0,28.5,28.6
11.3,32.9,22.4
0,41.9,14.3
0,14.3,30.7
34.7,30.7,0
4.9,29.3,23.4
0,34,32
9.1,51.6,13.2
5.4,25.9,37
0,27.4,51.4
1.9,12.2,49.3
0,24.7,25.8
8.8,7.3,22.8
5.9,29.9,20.1
39.3,0,29
13.5,27.3,18.6
26,10.2,16.5
0,7.5,42.6
7.7,7.7,46.1
6.9,20.3,6.7
0,46.6,16.6
0,52.7,0
5,28.5,30.2
28.2,24.2,23.9
7.4,33.2,22.4
0,11.3,22.7
0,26.1,15.7
0,26.1,30.2
12,29.1,21.5
2.9,33.9,41.2
0,0,59.3
0,15.4,64
0,49,51
8.3,35.8,32.9
0,31.9,0
10,36.2,34.2
7.7,11.6,53.2
0,10.8,11.4
5.9,20.2,27.4
12.9,34.3,27.9
12.5,15.8,29.5
12.9,21.8,34.2
0,33.8,16
6.3,24.5,15.8
1.5,18.7,55.1
0,39.7,40.3
13.9,16.2,0
16.7,0,0
4,39.3,21.4
0,0,0
15,18,41.8
9.9,9.9,20.8
10.4,29.3,30.9
5.8,36.8,28.2
10.9,43.3,7.3
15,39.7,20.2
12.8,15.5,41.1
16.2,10.8,34
0,24.7,50.8
0,26.4,16.3
15.6,10.6,19.4
14.4,14,25.9
6.1,11.9,51.5
0,15,54.2
30.6,33.3,0
6.7,20.3,18.5
0,49.9,0
0,27.4,21.4
8.6,3.2,50.8
0,27.1,0
0,21.4,42.6
0,0,0
6,31.6,21.5
50,0,0
27.3,10.9,55.2
12.6,12.9,12.6
0,14,31.1
10.6,89.4,0
2.5,30.4,39.6
N/A - division par 0,N/A - division par 0,N/A - division par 0
10.1,16.4,46.9
18.4,38.4,19.6
0,0,13.7
0,24.1,34.7
0,55.5,0
10.2,9.8,40.1
14.5,24.4,10.4
28.4,42.9,0
12.6,16.3,27.1
0,0,100
0,17.2,47.2
6.2,29.4,29.7
8.5,38.2,20.9
7.1,20.6,36
0,37,40.4
4.9,51.2,33.6
15.8,26.1,22.5
13.7,6.7,44.8
0,38.9,22.3
9.9,14.6,48
14.8,21.4,42.4
9,27.6,27
0,15.3,50.4
17.2,19.8,41.8
8.8,42.2,34.6
0,33.6,32.9
8.8,25,33.8
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,16.2,36
0,33.7,26.8
7.1,14.8,58.2
0,39.3,19.8
13.1,7,43.4
10.5,19.2,24.9
2.9,27.4,43.4
6.3,20.2,7
0,12.3,27.1
6,28.2,16
9,30.7,27.3
15.4,28.1,23.9
100,0,0
0,33.2,0
10.9,33,23
17,26.2,23.7
0,0,27.6
0,29.8,30.9
0,0,67.2
0,27.5,58.9
0,27.5,45.4
0,0,30
3.9,11.1,39.1
0,0,0
9.6,28.8,15.8
7.2,37.8,17.7
0,25.3,24.8
16.4,0,33.9
0,22.2,28.8
1.8,31.4,35.9
0,18,39.8
0,0,24
33.3,33.3,0
0,42.7,23.9
10.9,21.8,34.2
0,22.3,22.3
100,0,0
16.1,31,18.7
11.5,25.2,28.3
36.9,32.1,19.4
14.5,14.5,14.5
4.7,13.7,18.5
12.1,35.1,18.1
0,0,0
0,36.1,21.8
0,28.4,21.8
0,25.7,46.9
4.1,44.9,0
0,0,35.7
10.4,26.4,10.6
0,0,33.1
0,0,16.6
8.4,24.8,31
11.1,0,49.4
0,66.3,0
17.9,21.1,37.6
0,35.8,41
13.5,42.9,20.8
24.8,43.3,0
0,37.9,0
0,20.8,8.7
16.9,0,0
0,22.2,34
0,30,32
5.9,14.2,39.2
3,12,37.3
0,0,50.2
0,16,20.1
11.2,22.2,33.9
7.9,8.3,50.7
13.1,26,31.9
10.8,10.5,18.8
12.4,0,63.2
9,23.5,34.8
17.1,18.5,37.5
5.4,61.7,12.2
0,58.2,0
4.3,20.7,33.9
12.2,37.3,23.6
19.5,17.6,23.1
0,25.1,24.8
28,7.1,18.7
7.9,23.7,38.9
0,33.4,33.1
3.7,29,30.6
0,0,100
10.9,13.8,31.8
0,23.5,16.3
0,0,56.7
12.2,25.7,36.4
22,0,35.4
10.9,7.6,38.8
4.5,17.5,27
0,19.9,20.5
10,36.1,25
7.3,14.5,21.8
14,11.6,33.6
0,32.7,53.9
10.1,49.4,14
0,42.8,0
23.4,25.5,0
0,0,50.9
0,42.7,21.6
22,23.4,10.4
0,34.9,16.6
19.3,39.3,0
12.6,15.1,14.7
0,0,0
9.5,18.9,48.3
16.3,16.8,35.1
9.4,56,9.4
0,0,0
16.7,29.7,0
0,0,0
12.2,31.3,12.5
10.1,9.5,62.6
25.2,0,49
14.3,13,45.8
6.8,19.9,13.5
0,100,0
11.6,8.6,42.7
10.7,24,41.8
13.3,25.7,0
16.5,24.8,34.3
12.8,5.4,47.4
9.7,20.5,43.8
0,0,0
0,50,50
20.1,14.3,27.1
32.1,32.9,0
0,16.2,67.7
18,19.2,17.4
12.6,26.4,28.4
5.6,22.1,39
0,44.5,18.5
19,13.1,30.9
33,22.2,22.6
7.1,14.4,42.8
9.7,38.6,23.8
6.4,11.8,11.7
0,0,25.2
0,0,50.8
21.2,28.3,19.8
0,0,55.8
0,0,0
9.2,20.1,38.1
24.9,0,24.9
7.8,25.7,16.8
17,33.1,16.6
0,0,100
8.7,27.1,8.9
0,19.6,39.7
0,23.1,38.2
0,35.2,16.5
0,14.9,13.6
14,25.8,25.6
0,0,100
7.4,46.1,13
11.9,28.1,36.9
8.4,41.6,16.6
0,39.6,30.3
0,19.3,0
18.8,24.9,18.8
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,14.9,16.3
13.8,33.3,12
3.1,21.1,35.2
5.9,12.8,34.1
2.9,21.2,45.4
17.9,18.5,26.8
15.3,15.3,17.5
0,47.8,17
7.4,14.1,22.5
7,14.6,31.9
0,0,100
0,16.2,37.4
6.4,24.1,29.2
7,51,18.7
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,36.9,31.4
0,0,100
0,100,0
0,0,33.2
0,0,0
5.4,9.5,49
43.2,13,0
25.6,13.1,12.4
22.3,5.9,12.6
0,0,100
0,43.2,21.9
11.6,27.7,30
13.7,18.2,29.9
6.9,23.6,8.9
0,46.9,35.4
0,25.4,23.9
26.3,36.3,0
0,49.7,50.3
8.8,0,26.9
0,21.9,48
4,43.9,13.9
0,42,41.2
6.3,19.6,36
20.4,33.8,9.7
0,11.6,70.4
12.2,28.9,30.8
30.9,0,30.9
0,37.6,24.3
9.5,20.5,37.1
3.8,53,19.2
0,39,0
33.9,0,35.3
0,0,29.3
40.9,31.5,0
0,33.6,32.4
11.7,33.6,32.7
13.5,33.5,24.2
19.4,14.7,25.3
0,20,40
0,12,34.6
12.2,15.3,41.9
5.9,44.3,6.9
5.5,17.2,22.4
15.6,23.5,12.4
12,33.6,21.4
0,17.5,20.3
3.9,35.2,21.9
16.3,25.2,42.2
7.7,30.3,54.4
3.5,21,24.8
0,36.6,25.4
11.2,15.6,40.6
34.2,0,0
49.6,0,50.4
0,0,24.3
0,20,54.7
5.1,35.9,23.7
19.8,4.5,40.6
0,50.2,0
11.8,31.5,24.7
5.2,39.5,32.9
13.1,30.1,16.2
14,18.3,31.1
0,16.8,33.9
0,50.4,26.3
23.8,32.8,16.4
12.7,14.4,24.2
0,33.3,33.3
11.6,19.2,22.9
0,50,20
5.9,17.1,21.2
0,20.8,35.3
11.5,33.6,44.5
0,0,33.3
0,16.3,42.1
8.6,40.5,8.7
0,26.6,33.1
3.5,10.6,43.8
0,0,89
0,11.9,23
9,0,61
0,17.2,32.6
13.8,14.7,35.7
0,6.7,40
12.7,27,33
2.2,24.7,19.7
0,20.3,20.2
13.8,37.6,21.2
0,0,100
12.9,24.1,33.8
16,23,22.8
0,0,100
6.6,27.5,35.5
0,0,0
0,26.7,27.2
0,24,76
0,26,50.1
6.5,32.6,16.4
10.6,15.8,51.1
8.5,49.3,8.1
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,0,24.4
0,32.9,32.7
4.9,29.2,17.8
0,42.3,14.3
0,0,40
19.9,14.5,34.9
0,40.8,38.6
0,0,50.3
0,26,26
5.2,25.6,36.8
17.2,0,31.3
11.9,12.3,37.5
12.6,12.6,24.7
6.5,20,33.3
0,20.2,39.9
0,19.4,19.1
18.3,31,19.6
0,0,0
3,24.8,27.8
5,47.4,14.8
0,24.9,12.4
0,50,0
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,28.8,7.5
0,44.3,23.3
22.1,11.2,33.2
0,41.9,19.8
0,0,0
15.6,16.9,20.4
0,0,0
0,49.7,0
0,25.6,24.6
50,0,0
60.1,20,0
2.4,15.1,60.2
19.6,21.2,25.9
0,29.6,41.8
0,0,30.5
4,31.8,28.2
30.3,18.2,0
0,32.8,0
8.4,16.7,57.9
0,0,100
0,26.3,0
0,32.9,67.1
0,0,23.4
0,45.8,8.3
11.9,12.1,40.6
0,0,0
9.4,14.4,28.9
4.1,30.6,28.9
0,33.5,66.5
0,0,100
7.4,34.6,33.3
3.9,30.7,23.1
0,0,0
19.6,9.3,39.1
16.4,10.9,45
10.7,37.3,15
0,0,17.2
12.5,64.4,0
0,10.1,31.1
14.8,26.8,29.7
9.1,16.1,40.2
0,15.7,31.4
5.1,35.8,20.2
34.3,0,0
0,0,0
0,0,50.5
0,28,17.3
0,12.5,12.4
0,50,16.3
100,0,0
6.3,0,41.1
0,0,0
19.2,10.9,24.5
0,0,49.6
0,0,43.5
15.4,30,15.1
3.4,9.4,55.8
0,21.8,21.9
0,0,19.8
0,0,32.7
16.6,12.1,21.6
0,24.9,50.7
0,28.3,35.2
19.7,0,20
6.6,19.2,14.4
11.9,30.2,25.6
17.1,24.1,0
0,20.4,49.5
26.2,17.4,14.1
5.9,28.8,42
0,0,75.1
10,29.6,22.1
0,0,0
0,12.4,62.6
5.5,9.6,49.1
1.6,31.9,34.1
0,32.2,35.6
0,39.1,25.2
0,70.3,0
27.4,50.8,0
24,23.4,0
0,25,27.9
7,6.5,38.4
8.5,29.4,25.1
9.4,21.9,36.2
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,0,0
15.5,24.6,39.2
0,0,0
11.5,39.9,11.8
8.2,17.1,24.9
0,13.8,46.5
14.5,0,43.1
0,33.1,0
0,41,2.6
0,44.3,0
0,37.2,6.5
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,32.6,32.5
20,0,0
12.6,24,0
14.3,38.9,26.8
0,18.8,39.3
4.3,36.9,23.4
11.1,29.6,28
0,0,14.5
18.7,26.6,18.2
11.2,20.8,28.8
0,0,100
14.7,32.2,22.2
7.3,21.4,41
9.2,32.3,24.1
41.8,19.6,0
8.7,33.6,33.5
0,42.3,15.4
0,15.4,43.4
7.1,16.7,16.3
15.7,0,0
0,49.6,0
10.4,34.5,20.8
4.4,17.2,62.3
0,22.8,24.7
0,100,0
19.1,17.1,15.8
18.4,18.5,31
23.1,30.4,15
0,100,0
35.9,0,3.9
0,37.2,16.2
10,22.6,22.4
12.7,36,18.5
0,100,0
0,0,40.8
0,9.1,36.5
6,30.2,19
10.6,31.2,28
0,0,29.7
15.7,24.7,27.4
0,0,0
7.9,20.3,35.3
0,24.6,26.1
6,31.5,25.1
1.8,27.8,6.8
19.4,17.6,32
3,53.2,17.1
0,17.2,0
0,32.4,32.9
5.9,27.5,33.5
11.3,3,30.2
0,0,67.4
0,0,40.8
13.9,23.5,32.2
6.6,20.1,27.1
0,16.1,38.5
30.1,14.5,21.5
6.3,14.9,46.3
19.6,34,11.8
0,33.8,49.9
0,51,0
15.2,29.1,20.8
0,50.3,25.1
18.6,45.9,10
0,0,70.1
0,17.2,32.6
5.7,19.6,30.7
6.2,37.1,12.5
0,20.6,16.1
0,31.4,33.9
8.1,29.4,32.4
12.3,27.9,20.5
0,0,33.5
0,22.3,6.4
